,answer
256,충청권 과학비즈니스벨트 사업
257,개인화된 경험
258,463억원
259,‘플라스마 화학증착(CVD)’ 법
260,32명
261,둘째 아들
262,영국
263,에메랄드
264,레스토랑
265,아베노믹스
266,소루트비히
267,4일
268,1770만도즈
269,‘신한PWM 라운지’
270,‘Risk Management Award’
271,60억원
272,5%
273,후쿠오카 임시 법원
274,개화역
275,2층
276,1.08달러
277,1727
278,경건주의
279,이기석
280,독도
281,Talent X Junior+
282,장제스
283,한정대
284,10만원
285,MLP펀드
286,70%
287,11월17일
288,로열 콘세르트허바우 오케스트라(RCO)
289,일관
290,6월
291,제비초리
292,민족문제연구소
293,인천국제공항 귀빈실
294,8%
295,9월4~6일
296,(주)한라
297,두 명
298,회칠
299,기독교에 대한 탄압
300,85㎡
301,연세대
302,상암동
303,국제통화기금(IMF)
304,1998년
305,포스코건설
306,미세플라스틱
307,강남 3구
308,1864년
309,"""공유지의 비극"""
310,칸막이
311,26일
312,2009년
313,김영수
314,출장 잦은 건축가
315,이효상 의장
316,1982년
317,정재정
318,700만원
319,‘e편한세상 신촌’
320,웅기탁
321,서울 신당동 동대문패션비즈센터
322,D1세션
323,두 달
324,약 30년
325,‘카사델타코’
326,50%
327,2011년
328,주벌 얼리의 보병부대
329,지난달 10일
330,로컬스티치
331,‘내비둬 콘서트’
332,2만1979원
333,버진아일랜드
334,팝 발라드
335,이영희 막달레나
336,아루에
337,100여개
338,미국
339,2년
340,60여년
341,4만 9천원
342,48.27%
343,혁명적공산주의자동맹
344,이완구
345,중소기업
346,2007년
347,대학교의 의학 교수
348,‘라이언 킹’
349,뱅크샐러드 송금 서비스 런칭 이벤트
350,5월 29일
351,"벌레와 꽃, 그리고 새들을 노래한 시집"
352,"2,418건"
353,총 5000대
354,최경환
355,‘소회의실’
356,저출산고령사회위원회
357,23일
358,‘중항삼성생명보험유한공사’
359,경제개혁조치
360,5000만원
361,54개
362,마케도니아의 장군 알렉산더 3세
363,7조9576억원
364,현대건설
365,황도철학이라는 어용 학문을 연구해 다수의 논설을 발표한 일
366,보병 기사(말에서 내린 기사)
367,히브리 백성
368,2009년
369,12%
370,중재위원회
371,1748억원
372,<옥자>
373,유동성 부족
374,서울
375,9월 1일
376,23만개
377,전략총괄이사
378,‘메탈 그라운드’
379,대나라
380,지난 2월4일
381,2.9%
382,아테나이
383,라치오
384,갤럭시S6
385,1905년
386,한국
387,유로콥터
388,2500여점
389,중국
390,보코하람 테러리스트들
391,‘불평등은 어떻게 성장을 촉발시키나’
392,바리오 아덴트로 미션
393,어린이날
394,6000원
395,‘화성침공’
396,샌디훅초등학교에서 발생한 총기 난사 사건
397,9조7198억원
398,어머니
399,비단
400,16일
401,메이저 릿지
402,강신명
403,서울
404,성벽에 목이 매달리는 교수형
405,정부서울청사
406,학생규약
407,69조원
408,성균관대
409,4월15일
410,반신화적인 인물인 우파
411,‘순간’
412,사적기업설립권
413,11월
414,김자봉
415,21일
416,1993년
417,가수
418,‘구글 킵(keep)’
419,무역보험공사
420,2층
421,460억달러
422,1811년
423,6만23
424,컴퓨터
425,29일
426,21일
427,에어로바이런먼트
428,4발기 제작 경험
429,거치대
430,기원전 451년
431,농협중앙회
432,과학
433,일본
434,뇌출혈
435,28일
436,28개
437,‘안정적’
438,롯데
439,1907년
440,비선형 광학 현상
441,철도박물관
442,200여명
443,이종호
444,마라(麻辣)
445,미켈란젤로
446,자장율사
447,아트워터흙파는쥐
448,《칼의 노래》
449,듀얼키
450,인도
451,형태에 있어 거의 혹은 전혀 자유가 없어 다양한 번역을 창조해내기가 불가능하고 시구 구조에서도 다른 여지를 찾기 어려운 탓이다.
452,로젠바움
453,영국
454,리버리
455,《탐사기획 스트레이트》
456,촉매
457,24시간
458,유니레버
459,인체의 치수
460,레흐 카친스키
461,3400건
462,그랜드하얏트호텔
463,케빈 G. 린치
464,레오 6세의 전임자인 요한 10세
465,750억원
466,분만직전
467,8307
468,1916년
469,1525년까지
470,마이클 무어
471,징역 또는 금고의 형을 선고받고 형기의 3분의 1을 마친 모범 수형자
472,4대 2
473,엠큐브씨어터
474,공훈의 보상
475,표준화질
476,20km
477,건과류
478,여성소비자연합
479,신계륜 위원장
480,전문 성우들
481,27일
482,충칭
483,f(x)
484,지안시
485,고동우
486,리플리컨트
487,세월호 참사
488,영화배우
489,아웃도어 브랜드 트렉스타
490,감정
491,혼묘지
492,15명
493,‘조드가 불어오는 곳’
494,112만8000여명
495,7일
496,사라센인
497,70%
498,청나라 때
499,금융 공기업 부채
500,일본 도야마
501,김복영
502,자본주의적 농업 소유 구조
503,진주교대
504,말
505,기독교복음침례회
506,25일
507,개척시대의 부락회의(타운 미팅)
508,김치스탈
509,장자 유비(劉肥)
510,‘몬스터’
511,기원전 310년의 전멸 이후
512,17개
513,5개
514,현대자동차
515,롯데홀딩스
516,5000만원
517,부산센텀점
518,"16,100원"
519,리틀 포크 교회
520,최영애
521,1913년
522,‘배틀 포인트’
523,‘꿈의 숲 SK뷰’
524,1947년
525,비센테 델 보스케 감독
526,3년
527,16세기
528,롯데카드
529,<<종횡무진 한국경제>>
530,독일
531,하리수
532,나카지마 하루오
533,‘코드 감사’
534,정우택 충북지사
535,2015년 초
536,휘주상인
537,9개
538,국회의 비준동의
539,이경훈
540,이상호
541,이라크
542,총 3925가구
543,"""배낭의 남자"""
544,공개 키 암호 방식(public key) 토큰
545,SK텔레콤
546,프린스턴
547,통의동
548,갤럭시S4
549,가지안테프
550,티무르 왕조
551,김용태
552,베이다황그룹
553,1053
554,9월
555,2.9%
556,1944년
557,1945년 11월 11일
558,이희국
559,부리
560,인종주의
561,다산 정약용
562,세션Ⅰ
563,4731억원
564,박민식
565,‘비츠(Biits)’
566,‘수능 완성’
567,센리 선
568,원자력 발전
569,웨어러블 스마트 디바이스
570,현대삼호중공업
571,고케닌
572,식중독
573,4위
574,3년
575,iHQ
576,충북 충주
577,50%
578,순수 그리스인
579,3개
580,‘그림자 금융’
581,연꽃잎
582,주벌 얼리 장군
583,160만명
584,사영기업
585,‘서비스드 레지던스’
586,64.6%
587,18일
588,러시아
589,미국
590,휴온스
591,샤를 기욤 르 노르망 데티올
592,스위스
593,6조8631억원
594,직각자자리 은하단
595,이방 그리스도 교인
596,1974년
597,라미스테카
598,대우건설
599,관광진흥법
600,핀란드 헬싱키
601,독일 행정부
602,8500만원
603,양성윤
604,미국
605,5억 년
606,2008년
607,4.6%
608,박수현
609,2013년
610,182만2601CGT
611,픽톨로지
612,감
613,‘BlueStacks Inside for Steam’
614,고준석
615,최영익
616,6명
617,카카오 간편 결제 서비스
618,갈라바 성
619,10.8%
620,러시아
621,현대자동차그룹
622,골든 리트리버
623,문자
624,펀드별 장기 누적 수익률
625,아랍에미리트(UAE) 수의진단센터
626,칼 레빈
627,삼성전자
628,1045년
629,캐나다
630,100%
631,기아자동차
632,외부의 공적기관
633,연기
634,굵은 바늘
635,군의(軍毅)
636,잠재성장률
637,며느리
638,DCF-PYL
639,나가시노 전투
640,국제전기전자기술인협회 유럽 안테나 앤드 프로퍼게이션 컨퍼런스
641,LG유플러스
642,크리스토퍼 기스트
643,22일
644,엔지니어
645,전북 정읍
646,‘2017년 이후’
647,2019년 12월 31일
648,77%
649,11명
650,네이버
651,23개
652,평택성모병원
653,이곤
654,현장 면접
655,보신주의
656,9호선
657,4개
658,베르디
659,18일
660,중형 일개미들이 가져온 잎
661,벨라암
662,4년
663,1순위
664,웨스트민스터 궁
665,홍준표
666,게즈어
667,벤더
668,공산당
669,과태료
670,신세계백화점
671,독일
672,최근의 반도의 경제사범 ­국민의 신경제 윤리의 파악을 위하여­
673,30%
674,영어
675,고구려
676,아시아
677,라이헨바르 전투
678,391
679,‘내일은 미스터트롯’ 우승
680,140억원
681,부산
682,김주현
683,《라쇼몽》
684,‘유니티 개발자의 날’
685,60%
686,한국
687,화재
688,562가구
689,지장보살
690,개선사례
691,에르빈 롬멜
692,로젠이사
693,리비우스
694,레이쥔 최고경영자(CEO)
695,자문 분야
696,엠넷의 공개 오디션 프로그램 슈퍼스타K 2
697,국민연금
698,5.7%
699,25%
700,경상남도에서 출토되었다는 점
701,아오모리현
702,16%
703,전동기
704,1억원
705,일본정책투자은행(DBJ) 캐피털 디렉터(총괄부장)
706,전용갑 부사장
707,부산
708,미국
709,B급 영화
710,스마트 크루즈 컨트롤
711,지난달 30일
712,‘EMS’
713,중소 프랜차이즈
714,위안화
715,1946년
716,금호산업
717,조선총독부
718,에지캐피털
719,트로츠키
720,숲과나눔 강당
721,2009년
722,프랑스
723,재발 위험
724,11개
725,두 명
726,수학적 귀납법
727,1937년
728,이명박
729,카메라
730,오는 27일
731,말
732,임영록 KB금융지주 회장
733,미국 중앙은행(Fed)의 양적완화 규모 축소
734,4
735,도봉구
736,경영진단 컨설팅
737,1978년
738,1792년
739,노이즈 캔슬링
740,1996년
741,한국프레스센터
742,‘컴투스프로야구2021’
743,1977년
744,인터넷TV(IPTV)
745,사회 비판
746,야당
747,85층
748,미래에셋생명
749,16일
750,항공모함
751,7월 6일
752,파키스탄
753,스히폴 국제공항
754,금융투자협회
755,광주전남혁신도시
756,보험 상품
757,5000억원
758,빌트루디스
759,고리키 공장
760,‘세인트헤이븐 가이드 퀘스트’
761,《예루살렘의 아이히만》
762,8월 29일
763,0.4%
764,이틀
765,5만
766,1920년
767,약 2098억달러
768,안톤 실루아노프
769,5건
770,오는 13일
771,프라이스에이리어
772,5000만원
773,폴
774,캄보디아인민당(CPP)
775,박종복
776,34년
777,도쿄
778,한국
779,5만원권
780,교육부
781,과일 등 농산물
782,슈베르트
783,22개
784,모든 관직을 거친 대과 급제자
785,12만원+1500만원 초과액의 0.14%
786,지난해 2학기
787,시·도지사 승인
788,47개
789,교육부
790,‘해외가 낫다’
791,기원전 제2천년기
792,2억2200만원
793,금속
794,사장
795,경기 김포 한강신도시
796,11개
797,중국
798,선친의 산소
799,일본
800,강호갑
801,파비아
802,12년
803,바닷물
804,스콧 케이스 스타트업아메리카 최고경영자(CEO)
805,6개
806,노령연금
807,1A ~ 5A
808,스키
809,70%
810,제수씨
811,한샘
812,사츠키
813,서울 그랜드인터컨티넨탈호텔 그랜드볼룸
814,미국 휴스턴
815,CPU 시간
816,세월호 참사
817,1984년
818,에너지법 제4조 5항
819,허나라
820,이홍균
821,629년
822,1752년
823,알리페이
824,17일
825,34층
826,‘쉐취팡(學區房)’
827,‘신안인스빌 리베라2차’
828,잉그보르그 벵츠도터
829,핸드볼
830,김원겸
831,미국
832,김경숙
833,독일
834,한국
835,김서룡
836,서울 삼성동
837,뉴턴
838,한국외국어대
839,제일모직
840,이사회
841,김진호 사장
842,아프리카
843,실버종합물류
844,경기 과천
845,‘오페라의 유령’
846,21
847,6억7500만원
848,광공업생산
849,프란츠 (프란체스코)
850,대법관
851,업무 집행
852,첸나이
853,신라 경문왕
854,8곳
855,‘초서’
856,36%
857,전체 산업생산
858,오니기리
859,소리바다 주식
860,한전
861,창
862,윌리엄 S. 하니 준장
863,개봉작이란 타이틀을 얻기 위해서다
864,서구 기독교 국가들
865,3956억달러
866,니콜라 1세 왕실기
867,남원 진기리 느티나무
868,뇌일혈
869,2608㎡
870,8명
871,이상백
872,적외선 복사 현상
873,김 변호사
874,1979년
875,쉐보레HHR
876,미국 주재 조선일보
877,현삼과
878,유방암의 진단
879,마르쿠스 안토니우스
880,2월 초
881,2015년
882,정오
883,5일
884,젠하이저(Sennheiser)
885,특별법
886,베링
887,‘와팝(WAPOP)’
888,《무정》
889,3.5%
890,2015년
891,‘모란문표형주전자’
892,91 cm 구경의 굴절망원경
893,박 대통령 사열
894,10월
895,상업용 부동산 개발
896,2011년
897,해조류
898,아야스디
899,갈색세포종
900,2000만원
901,오후 2시
902,서천화력발전 2호기
903,마늘 재고
904,지방세분석과장
905,Unity 2020.2
906,전북 군산
907,게오르크 벨(Georg Bell)
908,박혜윤
909,약 2% 정도
910,구글
911,80%
912,국민은행
913,2년 반
914,몽골
915,추기경
916,손석현
917,애덤 램버트
918,4.5%
919,싱가포르 셸
920,80%
921,2011년
922,바레인
923,뮤코펩티드
924,언더우드 박사 집
925,시메온 1세
926,시리아킬리키아 포에니케 (Syria-Cilicia Phoenice)
927,창업진흥원·경기창조경제혁신센터
928,국세공무원교육원
929,‘잡포스팅 존(job posting zone)’
930,‘가요(kayo)’
931,9일
932,자국 병사
933,최종현
934,제50화
935,‘밀크’
936,2조7000억달러
937,5년
938,3300억원
939,장남인 한스
940,27일
941,1603년
942,미국
943,프랑스
944,절연체 재료
945,1.2%
946,신춘문예공모전
947,숭실대
948,일본
949,신한일전기
950,독일
951,랄라웨티카
952,삼성토탈
953,33층
954,미국 의과학학술지(BBRC)
955,제러미 코빈
956,65%
957,12%
958,밧지 공화국
959,기획재정부
960,영국
961,미래창조과학부
962,MD
963,6394만원
964,오는 30일
965,SK텔링크
966,당대의 바빌로니아 기록들이 현재까지 별로 많이 남아있지 않기 때문
967,국가자연사연구종합정보시스템
968,정기영
969,플라스틱보다 강도가 높기 때문에
970,자녀가 부모를 모시고 10년 이상 함께 산 ‘동거 주택’을 상속받는 경우
971,상용특허
972,르로클
973,서울 관악구
974,영국
975,61.2%
976,일본
977,촘베
978,최하부 지층
979,나가모리 시게노부
980,트레뻬제 부대
981,5.8%
982,사외 이사
983,독일
984,보스
985,‘아임에잇’
986,‘집사광익(集思廣益)’
987,헤르만 폰 잘차
988,지난 1월
989,‘페인스크램블러’
990,이승만
991,오후 7시30분
992,후군
993,선착순
994,11곳
995,AIA생명보험
996,‘드라이빙 마일리지제’
997,2008년
998,중형화물차
999,교황 율리오 2세
1000,26일
1001,300SPM
1002,시민과 동등한 세금 부담의 특권(이소테레이아)
1003,포스카르네트
1004,경춘선 갈매역
1005,2000년
1006,적립식 재형저축
1007,2016년
1008,윌리 텔라비 총리
1009,노엘 클라크
1010,53만3000t
1011,2010년
1012,성왕
1013,고영테크놀로지
1014,하나은행 분당중앙지점
1015,박용만
1016,김현묵
1017,시스템반도체 사업
1018,10년 이하
1019,오세정
1020,"119,000원"
1021,네오프톨레모스
1022,‘다다익선 할인’
1023,1만1662.52엔
1024,샐러드
1025,서울
1026,LG상사
1027,205조5000억원
1028,31일
1029,한국
1030,1000억원
1031,지상에 가족이 없었기 때문
1032,55개
1033,일본
1034,Monster Movie
1035,1986년
1036,현대백화점
1037,5개
1038,6년 반
1039,21년 상반기
1040,‘GR8’
1041,실리콘
1042,1853년
1043,'메테오스의 탑'
1044,뮤지컬 팬들
1045,신민계
1046,성기사 카드 팩
1047,영·유아
1048,호텔면세사업부
1049,300SPM
1050,수원화성행궁점
1051,김현웅
1052,신소재사업단
1053,자누비아
1054,자유무역지역법
1055,1차면접
1056,초월적인 존재(신)
1057,대한법률구조공단
1058,신학자 반디넬리
1059,나구모 주이치(南雲忠一) 중장
1060,와츠
1061,민간
1062,2014년
1063,러셀
1064,아웃도어&여행채널 ONT(오앤티)
1065,12월
1066,공민왕
1067,광주교도소
1068,각종 수신(受信) 문서들
1069,‘인어왕자: 너를 만지다’
1070,하이랜더 연대
1071,김소유
1072,네빌 체임벌린
1073,왕우
1074,세선각 기법
1075,중앙행정기관이 이전
1076,부천아이파크
1077,12명
1078,식후 졸림증
1079,지난해 7월
1080,군사 원조
1081,복합형 오피스텔
1082,임수정
1083,나영묵
1084,4544가구
1085,성남시청소년재단 중원청소년수련관
1086,웨이퍼 두께
1087,김영대
1088,이명박
1089,2월28일
1090,손정의
1091,‘트로이의 목마’
1092,14개
1093,‘힐스테이트 영통’
1094,2004년의 국방부 보고서
1095,88%
1096,4월9일(수)
1097,부여현감(扶餘縣監)
1098,27년
1099,2008년
1100,20일
1101,메그
1102,일본 전국시대
1103,‘수요회’
1104,2000만원
1105,15명
1106,12월 24일
1107,5일
1108,터키 이스탄불
1109,25일
1110,구글
1111,길피
1112,12월 17일(목)
1113,‘원칙이 바로 선 시장경제 질서 확립’
1114,조류인플루엔자
1115,베를린
1116,306만1000대
1117,7억8100만명
1118,네이트 실버
1119,서초동
1120,992가구
1121,TD-LTE
1122,로마 제국의 카를 5세
1123,‘교동반점 짬뽕’
1124,1기
1125,12월 30일
1126,2002년
1127,마케팅
1128,콜럼버스
1129,1949년 12월 경
1130,파주
1131,문무일
1132,뛰어난 그립력
1133,주택경기 활성화 정책
1134,문경은
1135,‘디지털 쇼룸’
1136,파시즘
1137,마법
1138,지난해 4월
1139,9월 5일
1140,134만명
1141,‘불가리’
1142,박은주
1143,김효재 전 청와대 정무수석
1144,‘MMA 응원보드’ 이벤트
1145,1753년
1146,'사채회사'
1147,심야시간
1148,그레이슨 페리
1149,‘지오송지오’
1150,호주 맥쿼리
1151,수직 안정체
1152,22.2%
1153,아버지
1154,11월 19일
1155,경기 안성경찰서
1156,건강질의서
1157,원유 시추
1158,이해인
1159,천주교 수사
1160,1413만원
1161,외곽순환도로
1162,집정관
1163,김한길
1164,서울 궁정동
1165,임상심리사
1166,대우조선해양
1167,존 맥스웰
1168,11월
1169,순천향대
1170,"1,990만 원(세금 및 봉사료 포함)"
1171,96억5500만원
1172,단백질
1173,로린 마젤
1174,월머 해안
1175,21일
1176,4%
1177,2030년
1178,250억원
1179,‘반값등록금’
1180,‘카이스트 AI 대학원’
1181,8조1823억원
1182,‘부루마블’
1183,통합형
1184,5
1185,1962년
1186,고문
1187,4만5800원
1188,‘브릭오븐’
1189,중국 후룬연구소
1190,9만150마리
1191,변동
1192,대우건설
1193,기아
1194,6일
1195,E1
1196,언더우드(Underwood)박사
1197,도쿠시마대
1198,10곳
1199,뒤쪽
1200,첸쉬안퉁
1201,1865년 1월 7일이후
1202,35%
